04 27 2004 00 00 00 00000000 11110000  11.7 1456.9  13.60     0     0     0.591   -0.030    91    94    0.580   -0.040    73    75    0.588   -0.048    61    63
04 27 2004 00 15 00 00000000 11110000  11.7 1456.9  13.59     0     0     0.598   -0.027    92    94    0.573   -0.048    74    76    0.591   -0.053    63    64
04 27 2004 00 30 00 00000000 11110000  11.7 1456.9  13.60     0     0     0.602   -0.026    92    93    0.576   -0.039    73    75    0.591   -0.059    62    63
04 27 2004 00 45 00 00000000 11110000  11.7 1456.9  13.59     0     0     0.597   -0.023    92    94    0.557   -0.042    74    76    0.597   -0.060    62    63
04 27 2004 01 00 00 00000000 11110000  11.7 1456.9  13.58     0     0     0.615   -0.026    90    93    0.586   -0.049    73    75    0.599   -0.061    62    63
04 27 2004 01 15 00 00000000 11110000  11.7 1456.9  13.59     0     0     0.610   -0.022    93    95    0.575   -0.044    75    76    0.599   -0.055    63    64
04 27 2004 01 30 00 00000000 11110000  11.7 1456.9  13.58     0     0     0.611   -0.038    91    94    0.598   -0.056    74    76    0.584   -0.061    62    64
04 27 2004 01 45 00 00000000 11110000  11.7 1456.9  13.58     0     0     0.623   -0.017    92    94    0.601   -0.047    75    77    0.592   -0.060    62    64
04 27 2004 02 00 00 00000000 11110000  11.7 1456.9  13.59     0     0     0.634   -0.014    91    94    0.587   -0.045    74    75    0.600   -0.063    62    64
04 27 2004 02 15 00 00000000 11110000  11.7 1456.9  13.59     0     0     0.624   -0.023    92    94    0.588   -0.045    74    77    0.606   -0.057    62    64
04 27 2004 02 30 00 00000000 11110000  11.7 1456.9  13.58     0     0     0.637   -0.018    94    96    0.586   -0.044    75    77    0.611   -0.055    63    64
04 27 2004 02 45 00 00000000 11110000  11.7 1456.9  13.58     0     0     0.627   -0.026    93    95    0.607   -0.057    75    77    0.627   -0.068    62    64
04 27 2004 03 00 00 00000000 11110000  11.7 1456.9  13.58     0     0     0.655   -0.021    92    96    0.603   -0.038    75    77    0.619   -0.066    63    64
04 27 2004 03 15 00 00000000 11110000  11.7 1456.9  13.58     0     0     0.630   -0.019    92    94    0.595   -0.045    74    76    0.595   -0.064    62    64
04 27 2004 03 30 00 00000000 11110000  11.7 1456.9  13.58     0     0     0.634   -0.026    92    95    0.611   -0.041    75    77    0.609   -0.063    63    64
04 27 2004 03 45 00 00000000 11110000  11.7 1456.9  13.58     0     0     0.623   -0.022    92    94    0.594   -0.046    74    76    0.614   -0.058    63    64
04 27 2004 04 00 00 00000000 11110000  11.7 1456.9  13.58     0     0     0.641   -0.018    91    94    0.601   -0.044    74    76    0.633   -0.063    62    64
04 27 2004 04 15 00 00000000 11110000  11.7 1456.9  13.57     0     0     0.645   -0.021    93    95    0.577   -0.035    75    77    0.604   -0.064    63    65
04 27 2004 04 30 00 00000000 11110000  11.7 1456.9  13.57     0     0     0.647   -0.029    93    95    0.611   -0.050    76    77    0.617   -0.065    64    65
04 27 2004 04 45 00 00000000 11110000  11.7 1456.9  13.58     0     0     0.629   -0.027    93    95    0.625   -0.048    76    78    0.612   -0.060    64    66
04 27 2004 05 00 00 00000000 11110000  11.7 1456.9  13.58     0     0     0.619   -0.022    93    95    0.628   -0.056    75    78    0.611   -0.057    64    65
04 27 2004 05 15 00 00000000 11110000  11.7 1456.9  13.57     0     0     0.638   -0.027    93    95    0.626   -0.048    75    77    0.627   -0.070    63    65
04 27 2004 05 30 00 00000000 11110000  11.7 1456.9  13.57     0     0     0.639   -0.022    91    93    0.609   -0.051    73    75    0.644   -0.063    61    63
04 27 2004 05 45 00 00000000 11110000  11.7 1456.9  13.57     0     0     0.642   -0.021    92    95    0.625   -0.045    75    78    0.628   -0.056    63    65
04 27 2004 06 00 00 00000000 11110000  11.7 1456.9  13.58     0     0     0.649   -0.017    93    94    0.605   -0.037    74    76    0.625   -0.051    62    64
04 27 2004 06 15 00 00000000 11110000  11.7 1456.9  13.57     0     0     0.662   -0.017    92    95    0.617   -0.044    74    77    0.637   -0.064    63    65
04 27 2004 06 30 00 00000000 11110000  11.7 1456.9  13.57     0     0     0.652   -0.023    94    95    0.629   -0.041    76    78    0.620   -0.051    64    64
04 27 2004 06 45 00 00000000 11110000  11.7 1456.9  13.58     0     0     0.678   -0.031    91    94    0.626   -0.049    73    76    0.628   -0.060    63    63
04 27 2004 07 00 00 00000000 11110000  11.7 1456.9  13.57     0     0     0.658   -0.016    94    96    0.614   -0.039    76    78    0.637   -0.056    64    65
04 27 2004 07 15 00 00000000 11110000  11.7 1456.9  13.57     0     0     0.658   -0.014    94    96    0.605   -0.051    76    78    0.628   -0.068    63    65
04 27 2004 07 30 00 00000000 11110000  11.7 1456.9  13.58     0     0     0.659   -0.017    92    94    0.623   -0.035    74    76    0.631   -0.067    63    64
04 27 2004 07 45 00 00000000 11110000  11.7 1456.9  13.57     0     0     0.674   -0.017    93    95    0.620   -0.035    74    76    0.642   -0.065    63    64
04 27 2004 08 00 00 00000000 11110000  11.7 1456.9  13.57     0     0     0.668   -0.012    93    95    0.633   -0.033    75    77    0.656   -0.060    63    65
04 27 2004 08 15 00 00000000 11110000  11.7 1456.9  13.58     0     0     0.659   -0.017    94    96    0.620   -0.039    76    78    0.647   -0.053    64    66
04 27 2004 08 30 00 00000000 11110000  11.7 1456.9  13.59     0     0     0.696   -0.011    94    97    0.629   -0.038    77    78    0.664   -0.063    65    65
04 27 2004 08 45 00 00000000 11110000  11.7 1456.9  13.59     0     0     0.682   -0.018    94    96    0.642   -0.036    76    78    0.642   -0.053    64    65
04 27 2004 09 00 00 00000000 11110000  11.7 1456.9  13.59     0     0     0.659   -0.014    93    95    0.664   -0.031    76    78    0.668   -0.058    64    65
04 27 2004 09 15 00 00000000 11110000  11.7 1456.9  13.60     0     0     0.676   -0.015    94    96    0.627   -0.030    77    79    0.656   -0.056    65    66
04 27 2004 09 30 00 00000000 11110000  11.7 1456.9  13.60     0     0     0.692   -0.009    94    96    0.626   -0.042    76    78    0.654   -0.058    64    66
04 27 2004 09 45 00 00000000 11110000  11.7 1456.9  13.61     0     0     0.693   -0.009    95    97    0.620   -0.032    77    79    0.641   -0.061    65    66
04 27 2004 10 00 00 00000000 11110000  11.7 1456.9  13.62     0     0     0.673   -0.024    95    97    0.663   -0.036    77    79    0.659   -0.057    64    65
04 27 2004 10 15 00 00000000 11110000  11.7 1456.9  13.62     0     0     0.701   -0.013    94    97    0.652   -0.038    77    79    0.638   -0.053    64    66
04 27 2004 10 30 00 00000000 11110000  11.7 1456.9  13.62     0     0     0.708   -0.024    94    97    0.640   -0.033    76    79    0.641   -0.053    65    65
04 27 2004 10 45 00 00000000 11110000  11.7 1456.9  13.63     0     0     0.702   -0.024    95    98    0.631   -0.034    77    79    0.644   -0.054    64    65
04 27 2004 11 00 00 00000000 11110000  11.7 1456.9  13.63     0     0     0.687   -0.007    94    97    0.645   -0.034    77    79    0.654   -0.051    65    66
04 27 2004 11 15 00 00000000 11110000  11.7 1456.9  13.64     0     0     0.679   -0.022    95    97    0.640   -0.031    77    78    0.651   -0.052    64    66
04 27 2004 11 30 00 00000000 11110000  11.7 1456.9  13.64     0     0     0.706   -0.017    95    98    0.638   -0.039    77    80    0.669   -0.047    65    66
04 27 2004 11 45 00 00000000 11110000  11.7 1456.9  13.64     0     0     0.717   -0.016    96    98    0.645   -0.034    78    80    0.650   -0.056    65    67
04 27 2004 12 00 00 00000000 11110000  11.7 1456.9  13.65     0     0     0.698   -0.012    95    98    0.661   -0.044    78    80    0.681   -0.049    65    67
04 27 2004 12 15 00 00000000 11110000  11.7 1456.9  13.65     0     0     0.698   -0.018    95    98    0.651   -0.041    78    79    0.694   -0.059    64    66
04 27 2004 12 30 00 00000000 11110000  11.7 1456.9  13.66     0     0     0.706   -0.027    96    98    0.642   -0.037    78    80    0.681   -0.051    65    67
04 27 2004 12 45 00 00000000 11110000  11.7 1456.9  13.65     0     0     0.719   -0.017    96    98    0.653   -0.038    78    81    0.681   -0.054    66    67
04 27 2004 13 00 00 00000000 11110000  11.7 1456.9  13.65     0     0     0.710   -0.019    95    98    0.647   -0.024    77    79    0.651   -0.045    64    66
04 27 2004 13 15 00 00000000 11110000  11.7 1456.9  13.66     0     0     0.709   -0.028    96    98    0.633   -0.037    77    80    0.657   -0.060    66    66
04 27 2004 13 30 00 00000000 11110000  11.7 1456.9  13.65     0     0     0.704   -0.024    96    98    0.665   -0.030    79    80    0.672   -0.047    66    67
04 27 2004 13 45 00 00000000 11110000  11.7 1456.9  13.65     0     0     0.719   -0.020    95    98    0.664   -0.035    78    80    0.679   -0.046    65    67
04 27 2004 14 00 00 00000000 11110000  11.7 1456.9  13.64     0     0     0.689   -0.017    95    98    0.657   -0.040    78    80    0.672   -0.060    65    67
04 27 2004 14 15 00 00000000 11110000  11.7 1456.9  13.64     0     0     0.696   -0.018    97    98    0.650   -0.032    79    81    0.712   -0.058    66    68
04 27 2004 14 30 00 00000000 11110000  11.7 1456.9  13.64     0     0     0.696   -0.016    97    99    0.664   -0.027    79    81    0.698   -0.045    66    68
04 27 2004 14 45 00 00000000 11110000  11.7 1456.9  13.64     0     0     0.686   -0.017    96    98    0.663   -0.043    78    80    0.700   -0.051    66    67
04 27 2004 15 00 00 00000000 11110000  11.7 1456.9  13.63     0     0     0.728   -0.013    97    99    0.682   -0.025    79    81    0.671   -0.052    66    68
04 27 2004 15 15 00 00000000 11110000  11.7 1456.9  13.64     0     0     0.722   -0.017    96    99    0.673   -0.032    78    80    0.700   -0.054    66    67
04 27 2004 15 30 00 00000000 11110000  11.7 1456.9  13.63     0     0     0.724   -0.019    97    99    0.652   -0.027    79    81    0.678   -0.057    67    68
04 27 2004 15 45 00 00000000 11110000  11.7 1456.9  13.62     0     0     0.717   -0.013    96    99    0.655   -0.024    79    81    0.691   -0.042    67    67
04 27 2004 16 00 00 00000000 11110000  11.7 1456.9  13.62     0     0     0.726   -0.012    97    99    0.657   -0.034    79    81    0.693   -0.055    66    68
04 27 2004 16 15 00 00000000 11110000  11.7 1456.9  13.62     0     0     0.714   -0.021    96    99    0.661   -0.039    79    80    0.713   -0.052    67    68
04 27 2004 16 30 00 00000000 11110000  11.7 1456.9  13.61     0     0     0.746   -0.012    97    99    0.687   -0.024    79    81    0.692   -0.054    67    68
04 27 2004 16 45 00 00000000 11110000  11.7 1456.9  13.61     0     0     0.729   -0.021    96    98    0.674   -0.041    79    80    0.671   -0.055    66    67
04 27 2004 17 00 00 00000000 11110000  11.7 1456.9  13.60     0     0     0.727   -0.015    97    99    0.675   -0.041    79    81    0.712   -0.053    66    67
04 27 2004 17 15 00 00000000 11110000  11.7 1456.9  13.60     0     0     0.744   -0.009    97    99    0.690   -0.033    79    81    0.702   -0.058    66    67
04 27 2004 17 30 00 00000000 11110000  11.7 1456.9  13.59     0     0     0.716   -0.017    96    99    0.673   -0.027    79    82    0.701   -0.055    66    68
04 27 2004 17 45 00 00000000 11110000  11.7 1456.9  13.59     0     0     0.720   -0.011    96    98    0.671   -0.035    78    80    0.692   -0.051    66    67
04 27 2004 18 00 00 00000000 11110000  11.7 1456.9  13.59     0     0     0.742    0.004    97    99    0.656   -0.022    79    81    0.703   -0.050    66    68
04 27 2004 18 15 00 00000000 11110000  11.7 1456.9  13.59     0     0     0.719   -0.008    97    99    0.685   -0.018    79    80    0.697   -0.047    66    67
04 27 2004 18 30 00 00000000 11110000  11.7 1456.9  13.59     0     0     0.718   -0.009    97   100    0.685   -0.032    80    82    0.684   -0.053    67    67
04 27 2004 18 45 00 00000000 11110000  11.7 1456.9  13.59     0     0     0.755   -0.010    97    99    0.675   -0.022    79    81    0.735   -0.058    66    68
04 27 2004 19 00 00 00000000 11110000  11.7 1456.9  13.59     0     0     0.721   -0.010    98    99    0.681   -0.025    79    81    0.695   -0.051    67    68
04 27 2004 19 15 00 00000000 11110000  11.7 1456.9  13.60     0     0     0.751   -0.008    97    99    0.688   -0.020    80    81    0.718   -0.050    67    68
04 27 2004 19 30 00 00000000 11110000  11.7 1456.9  13.59     0     0     0.752   -0.014    97    99    0.684   -0.027    79    80    0.703   -0.051    66    68
04 27 2004 19 45 00 00000000 11110000  11.7 1456.9  13.59     0     0     0.744   -0.022    97    99    0.688   -0.023    80    82    0.719   -0.052    66    68
04 27 2004 20 00 00 00000000 11110000  11.7 1456.9  13.59     0     0     0.743   -0.007    97    99    0.693   -0.029    79    81    0.715   -0.055    66    68
04 27 2004 20 15 00 00000000 11110000  11.7 1456.9  13.59     0     0     0.740   -0.006    97    99    0.680   -0.028    80    81    0.727   -0.061    67    68
04 27 2004 20 30 00 00000000 11110000  11.7 1456.9  13.59     0     0     0.760   -0.024    98    99    0.693   -0.027    79    81    0.712   -0.050    66    68
04 27 2004 20 45 00 00000000 11110000  11.7 1456.9  13.58     0     0     0.766   -0.017    97    99    0.692   -0.024    80    81    0.715   -0.056    66    68
04 27 2004 21 00 00 00000000 11110000  11.7 1456.9  13.59     0     0     0.779   -0.008    97    99    0.677   -0.024    79    81    0.725   -0.042    66    68
04 27 2004 21 15 00 00000000 11110000  11.7 1456.9  13.59     0     0     0.770   -0.021    98    99    0.711   -0.027    79    82    0.727   -0.053    67    68
04 27 2004 21 30 00 00000000 11110000  11.7 1456.9  13.59     0     0     0.737   -0.010    98   100    0.693   -0.023    80    82    0.717   -0.046    67    68
04 27 2004 21 45 00 00000000 11110000  11.7 1456.9  13.58     0     0     0.766   -0.014    97    99    0.697   -0.031    79    81    0.717   -0.056    67    68
04 27 2004 22 00 00 00000000 11110000  11.7 1456.9  13.59     0     0     0.767   -0.003    97    99    0.698   -0.020    79    81    0.722   -0.051    66    67
04 27 2004 22 15 00 00000000 11110000  11.7 1456.9  13.58     0     0     0.746   -0.013    98    99    0.688   -0.025    79    81    0.719   -0.049    67    68
04 27 2004 22 30 00 00000000 11110000  11.7 1456.9  13.58     0     0     0.779   -0.010    96    99    0.685   -0.022    79    80    0.734   -0.043    66    67
04 27 2004 22 45 00 00000000 11110000  11.7 1456.9  13.58     0     0     0.781   -0.013    97    99    0.691   -0.025    78    82    0.699   -0.042    66    67
04 27 2004 23 00 00 00000000 11110000  11.7 1456.9  13.58     0     0     0.781   -0.004    97   100    0.701   -0.017    80    81    0.730   -0.040    66    69
04 27 2004 23 15 00 00000000 11110000  11.7 1456.9  13.58     0     0     0.768   -0.015    97    99    0.701   -0.008    79    80    0.724   -0.045    66    67
04 27 2004 23 30 00 00000000 11110000  11.7 1456.9  13.58     0     0     0.760   -0.018    98    99    0.695   -0.023    79    81    0.722   -0.040    66    69
04 27 2004 23 45 00 00000000 11110000  11.7 1456.9  13.58     0     0     0.774    0.000    97   100    0.708   -0.023    80    81    0.742   -0.049    66    68
04 28 2004 00 00 00 00000000 11110000  11.7 1456.9  13.58     0     0     0.791   -0.020    97    98    0.728   -0.025    79    81    0.735   -0.048    66    67
04 28 2004 00 15 00 00000000 11110000  11.7 1456.9  13.58     0     0     0.785   -0.010    96    99    0.701   -0.037    79    81    0.731   -0.050    66    67
04 28 2004 00 30 00 00000000 11110000  11.7 1456.9  13.58     0     0     0.779   -0.018    96    99    0.705   -0.033    78    81    0.738   -0.053    65    67
04 28 2004 00 45 00 00000000 11110000  11.7 1456.9  13.58     0     0     0.779   -0.010    97    99    0.718   -0.021    78    80    0.722   -0.050    66    68
04 28 2004 01 00 00 00000000 11110000  11.7 1456.9  13.58     0     0     0.748   -0.010    97    99    0.717   -0.017    78    81    0.737   -0.047    66    67
04 28 2004 01 15 00 00000000 11110000  11.7 1456.9  13.59     0     0     0.796   -0.017    98   100    0.710   -0.024    80    81    0.754   -0.049    66    68
04 28 2004 01 30 00 00000000 11110000  11.7 1456.9  13.58     0     0     0.781   -0.010    98    99    0.709   -0.012    80    82    0.715   -0.039    67    68
04 28 2004 01 45 00 00000000 11110000  11.7 1456.9  13.58     0     0     0.792   -0.016    98    99    0.694   -0.013    79    81    0.739   -0.032    67    68
04 28 2004 02 00 00 00000000 11110000  11.7 1456.9  13.58     0     0     0.811   -0.008    97   100    0.726   -0.021    79    81    0.723   -0.045    66    68
04 28 2004 02 15 00 00000000 11110000  11.7 1456.9  13.58     0     0     0.816   -0.001    97    99    0.713   -0.015    79    81    0.748   -0.041    66    68
04 28 2004 02 30 00 00000000 11110000  11.7 1456.9  13.58     0     0     0.813   -0.011    98    99    0.732   -0.012    80    82    0.734   -0.045    67    68
04 28 2004 02 45 00 00000000 11110000  11.7 1456.9  13.59     0     0     0.801   -0.017    98   100    0.714   -0.029    80    82    0.716   -0.043    67    68
04 28 2004 03 00 00 00000000 11110000  11.7 1456.9  13.59     0     0     0.793   -0.007    97    99    0.723   -0.029    79    82    0.753   -0.049    67    68
