0.0000000000, 0.8402259795
10.0000000000, 0.8370787359
20.0000000000, 0.8338794979
30.0000000000, 0.8306279080
40.0000000000, 0.8273236276
50.0000000000, 0.8239663377
60.0000000000, 0.8205557398
70.0000000000, 0.8170915573
80.0000000000, 0.8135735358
90.0000000000, 0.8100014443
100.0000000000, 0.8063750765
110.0000000000, 0.8026942512
120.0000000000, 0.7989588134
130.0000000000, 0.7951686354
140.0000000000, 0.7913236178
150.0000000000, 0.7874236899
160.0000000000, 0.7834688112
170.0000000000, 0.7794589721
180.0000000000, 0.7753941946
190.0000000000, 0.7712745333
200.0000000000, 0.7671000762
210.0000000000, 0.7628709458
220.0000000000, 0.7585872993
230.0000000000, 0.7542493299
240.0000000000, 0.7498572672
250.0000000000, 0.7454113783
260.0000000000, 0.7409119678
270.0000000000, 0.7363593790
280.0000000000, 0.7317539943
290.0000000000, 0.7270962355
300.0000000000, 0.7223865647
310.0000000000, 0.7176254843
320.0000000000, 0.7128135378
330.0000000000, 0.7079513097
340.0000000000, 0.7030394260
350.0000000000, 0.6980785544
360.0000000000, 0.6930694045
370.0000000000, 0.6880127275
380.0000000000, 0.6829093168
390.0000000000, 0.6777600074
400.0000000000, 0.6725656760
410.0000000000, 0.6673272409
420.0000000000, 0.6620456615
430.0000000000, 0.6567219380
440.0000000000, 0.6513571112
450.0000000000, 0.6459522617
460.0000000000, 0.6405085094
470.0000000000, 0.6350270131
480.0000000000, 0.6295089692
490.0000000000, 0.6239556115
500.0000000000, 0.6183682100
510.0000000000, 0.6127480699
520.0000000000, 0.6070965307
530.0000000000, 0.6014149652
540.0000000000, 0.5957047779
550.0000000000, 0.5899674042
560.0000000000, 0.5842043087
570.0000000000, 0.5784169841
580.0000000000, 0.5726069498
590.0000000000, 0.5667757500
600.0000000000, 0.5609249525
610.0000000000, 0.5550561468
620.0000000000, 0.5491709428
630.0000000000, 0.5432709688
640.0000000000, 0.5373578695
650.0000000000, 0.5314333049
660.0000000000, 0.5254989477
670.0000000000, 0.5195564821
680.0000000000, 0.5136076012
690.0000000000, 0.5076540057
700.0000000000, 0.5016974016
710.0000000000, 0.4957394983
720.0000000000, 0.4897820070
730.0000000000, 0.4838266380
740.0000000000, 0.4778750994
750.0000000000, 0.4719290950
760.0000000000, 0.4659903219
770.0000000000, 0.4600604694
780.0000000000, 0.4541412161
790.0000000000, 0.4482342291
800.0000000000, 0.4423411610
810.0000000000, 0.4364636491
820.0000000000, 0.4306033128
830.0000000000, 0.4247617526
840.0000000000, 0.4189405476
850.0000000000, 0.4131412545
860.0000000000, 0.4073654059
870.0000000000, 0.4016145083
880.0000000000, 0.3958900411
890.0000000000, 0.3901934551
900.0000000000, 0.3845261709
910.0000000000, 0.3788895780
920.0000000000, 0.3732850333
930.0000000000, 0.3677138597
940.0000000000, 0.3621773459
950.0000000000, 0.3566767443
960.0000000000, 0.3512132710
970.0000000000, 0.3457881044
980.0000000000, 0.3404023845
990.0000000000, 0.3350572125
1000.0000000000, 0.3297536499
1010.0000000000, 0.3244927179
1020.0000000000, 0.3192753972
1030.0000000000, 0.3141026274
1040.0000000000, 0.3089753069
1050.0000000000, 0.3038942922
1060.0000000000, 0.2988603985
1070.0000000000, 0.2938743986
1080.0000000000, 0.2889370240
1090.0000000000, 0.2840489638
1100.0000000000, 0.2792108658
1110.0000000000, 0.2744233360
1120.0000000000, 0.2696869390
1130.0000000000, 0.2650021985
1140.0000000000, 0.2603695975
1150.0000000000, 0.2557895787
1160.0000000000, 0.2512625448
1170.0000000000, 0.2467888592
1180.0000000000, 0.2423688467
1190.0000000000, 0.2380027937
1200.0000000000, 0.2336909490
1210.0000000000, 0.2294335248
1220.0000000000, 0.2252306968
1230.0000000000, 0.2210826054
1240.0000000000, 0.2169893564
1250.0000000000, 0.2129510215
1260.0000000000, 0.2089676398
1270.0000000000, 0.2050392177
1280.0000000000, 0.2011657307
1290.0000000000, 0.1973471236
1300.0000000000, 0.1935833119
1310.0000000000, 0.1898741823
1320.0000000000, 0.1862195939
1330.0000000000, 0.1826193791
1340.0000000000, 0.1790733443
1350.0000000000, 0.1755812713
1360.0000000000, 0.1721429177
1370.0000000000, 0.1687580183
1380.0000000000, 0.1654262858
1390.0000000000, 0.1621474118
1400.0000000000, 0.1589210677
1410.0000000000, 0.1557469057
1420.0000000000, 0.1526245595
1430.0000000000, 0.1495536457
1440.0000000000, 0.1465337642
1450.0000000000, 0.1435644991
1460.0000000000, 0.1406454201
1470.0000000000, 0.1377760826
1480.0000000000, 0.1349560292
1490.0000000000, 0.1321847902
1500.0000000000, 0.1294618844
1510.0000000000, 0.1267868200
1520.0000000000, 0.1241590953
1530.0000000000, 0.1215781995
1540.0000000000, 0.1190436136
1550.0000000000, 0.1165548106
1560.0000000000, 0.1141112567
1570.0000000000, 0.1117124120
1580.0000000000, 0.1093577307
1590.0000000000, 0.1070466620
1600.0000000000, 0.1047786510
1610.0000000000, 0.1025531388
1620.0000000000, 0.1003695632
1630.0000000000, 0.0982273596
1640.0000000000, 0.0961259612
1650.0000000000, 0.0940647995
1660.0000000000, 0.0920433050
1670.0000000000, 0.0900609074
1680.0000000000, 0.0881170364
1690.0000000000, 0.0862111218
1700.0000000000, 0.0843425943
1710.0000000000, 0.0825108854
1720.0000000000, 0.0807154283
1730.0000000000, 0.0789556577
1740.0000000000, 0.0772310106
1750.0000000000, 0.0755409267
1760.0000000000, 0.0738848481
1770.0000000000, 0.0722622201
1780.0000000000, 0.0706724916
1790.0000000000, 0.0691151148
1800.0000000000, 0.0675895459
